,Name ,Comment ,comments,Time ,text_token,text_string
0,No Text To Speech,That intro was slick. Definitely worth the hours of time spent making it :),that intro was slick. definitely worth the hours of time spent making it :),2022-09-14T19:39:30Z,"['intro', 'slick', 'definitely', 'worth', 'hours', 'time', 'spent', 'making']",intro slick definitely worth hours time spent making
1,PiXimperfect,"Not here for Apple, but for Marques' incredible production quality.","not here for apple, but for marques' incredible production quality.",2022-09-16T09:09:07Z,"['apple', 'marques', 'incredible', 'production', 'quality']",apple marques incredible production quality
2,azu sdhfjdg,"in an extremely consumerist environment, where influencers are a walking advertisement at this point and we are all pushed to always have the latest and greatest new gadget, your candidness and honesty is greatly appreciated. you are one of the biggest tech youtubers and you’re constantly getting deals from the big brands and stuff, it would be easy for you to just push ppl to buy this new device but you still take the time to be frank & direct and state the honest truth; no matter how hard brands try to push us to buy their latest product; the *average* iphone 11 or later user wouldn't really notice a big difference between their current phone and upgrading to the 14 pro, no matter how cool that new shiny phone is. thanks for your honesty and great review as always","in an extremely consumerist environment, where influencers are a walking advertisement at this point and we are all pushed to always have the latest and greatest new gadget, your candidness and honesty is greatly appreciated. you are one of the biggest tech youtubers and you’re constantly getting deals from the big brands and stuff, it would be easy for you to just push ppl to buy this new device but you still take the time to be frank & direct and state the honest truth; no matter how hard brands try to push us to buy their latest product; the *average* iphone 11 or later user wouldn't really notice a big difference between their current phone and upgrading to the 14 pro, no matter how cool that new shiny phone is. thanks for your honesty and great review as always",2022-09-15T17:52:00Z,"['extremely', 'consumerist', 'environment', 'influencers', 'walking', 'advertisement', 'point', 'pushed', 'always', 'latest', 'greatest', 'new', 'gadget', 'candidness', 'honesty', 'greatly', 'appreciated', 'one', 'biggest', 'tech', 'youtubers', 'constantly', 'getting', 'deals', 'big', 'brands', 'stuff', 'would', 'easy', 'push', 'ppl', 'buy', 'new', 'device', 'still', 'take', 'time', 'frank', 'direct', 'state', 'honest', 'truth', 'matter', 'hard', 'brands', 'try', 'push', 'us', 'buy', 'latest', 'product', 'average', 'iphone', '11', 'later', 'user', 'really', 'notice', 'big', 'difference', 'current', 'phone', 'upgrading', '14', 'pro', 'matter', 'cool', 'new', 'shiny', 'phone', 'thanks', 'honesty', 'great', 'review', 'always']",extremely consumerist environment influencers walking advertisement point pushed always latest greatest new gadget candidness honesty greatly appreciated one biggest tech youtubers constantly getting deals big brands stuff would easy push ppl buy new device still take time frank direct state honest truth matter hard brands try push buy latest product average iphone later user really notice big difference current phone upgrading pro matter cool new shiny phone thanks honesty great review always
3,Dominic The ACE,Only issue I have with the “Dynamic Island” is the fact that you’ll have to clean your camera all the time if you’re touching it putting finger prints all over that area,only issue i have with the “dynamic island” is the fact that you’ll have to clean your camera all the time if you’re touching it putting finger prints all over that area,2022-09-16T07:29:53Z,"['issue', 'dynamic', 'island', 'fact', 'clean', 'camera', 'time', 'touching', 'putting', 'finger', 'prints', 'area']",issue dynamic island fact clean camera time touching putting finger prints area
4,TimeBucks,The quality of the video is incredible,the quality of the video is incredible,2022-09-16T08:33:17Z,"['quality', 'video', 'incredible']",quality video incredible
5,LAW - Tutorials,"A really honest, true review and therefore very much appreciated.  Great content once again!","a really honest, true review and therefore very much appreciated.  great content once again!",2022-09-15T01:54:19Z,"['really', 'honest', 'true', 'review', 'therefore', 'much', 'appreciated', 'great', 'content']",really honest true review therefore much appreciated great content
6,SumoraiJack,"Not much in the way for hardware changes to get met to upgrade my phone, but the software update is where it's at for me, and that's where I think that's the focus for Apple this year. watchOS and iOS QoL updates are huge for me.","not much in the way for hardware changes to get met to upgrade my phone, but the software update is where it's at for me, and that's where i think that's the focus for apple this year. watchos and ios qol updates are huge for me.",2022-09-15T16:51:46Z,"['much', 'way', 'hardware', 'changes', 'get', 'met', 'upgrade', 'phone', 'software', 'update', 'think', 'focus', 'apple', 'year', 'watchos', 'ios', 'qol', 'updates', 'huge']",much way hardware changes get met upgrade phone software update think focus apple year watchos ios qol updates huge
7,Sergio Melendez,"Both MKBHD and The Verge are reporting slightly less battery life than expected coming from the 13 Pro models. They’re attributing it to either the Always-On display or intensive camera testing during the review period

I’m sure we’ll get some in-depth testing over the next few weeks with more concrete results","both mkbhd and the verge are reporting slightly less battery life than expected coming from the 13 pro models. they’re attributing it to either the always-on display or intensive camera testing during the review period

i’m sure we’ll get some in-depth testing over the next few weeks with more concrete results",2022-09-15T17:27:37Z,"['mkbhd', 'verge', 'reporting', 'slightly', 'less', 'battery', 'life', 'expected', 'coming', '13', 'pro', 'models', 'attributing', 'either', 'always', 'display', 'intensive', 'camera', 'testing', 'review', 'period', 'sure', 'get', 'depth', 'testing', 'next', 'weeks', 'concrete', 'results']",mkbhd verge reporting slightly less battery life expected coming pro models attributing either always display intensive camera testing review period sure get depth testing next weeks concrete results
8,George Roy,"I've been waiting for so long to upgrade from my Oneplus 5T, and the 14 Pro Max was on top of my list. But after the launch ,  realising that it's not a major upgradr over the 13 pro ,I am wondering whether i should go for this one or get a 13 pro max at a good deal.","i've been waiting for so long to upgrade from my oneplus 5t, and the 14 pro max was on top of my list. but after the launch ,  realising that it's not a major upgradr over the 13 pro ,i am wondering whether i should go for this one or get a 13 pro max at a good deal.",2022-09-15T19:02:29Z,"['waiting', 'long', 'upgrade', 'oneplus', '5t', '14', 'pro', 'max', 'top', 'list', 'launch', 'realising', 'major', 'upgradr', '13', 'pro', 'wondering', 'whether', 'go', 'one', 'get', '13', 'pro', 'max', 'good', 'deal']",waiting long upgrade oneplus pro max top list launch realising major upgradr pro wondering whether one get pro max good deal
9,Ethen Jordan,"i like how they made IOS 16, more ""one  hand friendly"" on the lock screen. Moving notifications to the bottom. But then make EVERYTHING go to the very top so its almost impossible to one hand it because of this ""dynamic Island"". However i like the implementation and idea.","i like how they made ios 16, more ""one  hand friendly"" on the lock screen. moving notifications to the bottom. but then make everything go to the very top so its almost impossible to one hand it because of this ""dynamic island"". however i like the implementation and idea.",2022-09-14T13:43:28Z,"['like', 'made', 'ios', '16', 'one', 'hand', 'friendly', 'lock', 'screen', 'moving', 'notifications', 'bottom', 'make', 'everything', 'go', 'top', 'almost', 'impossible', 'one', 'hand', 'dynamic', 'island', 'however', 'like', 'implementation', 'idea']",like made ios one hand friendly lock screen moving notifications bottom make everything top almost impossible one hand dynamic island however like implementation idea
10,YungYouTubeGod,"Love seeing LG get it's love that they deserve, for all the features that LG brought well before any other brands, time and time again. Truly innovative, even if they didn't fully catch on. They seem to be catching on years later in other phones.

Still miss LG so much. Plan on rocking my V60 Dual Screen for easily the next 5 years. If this had 90/120hz, i would probably never move up for a lot longer.

This phone still always makes people do double takes, and asks what it is.","love seeing lg get it's love that they deserve, for all the features that lg brought well before any other brands, time and time again. truly innovative, even if they didn't fully catch on. they seem to be catching on years later in other phones.

still miss lg so much. plan on rocking my v60 dual screen for easily the next 5 years. if this had 90/120hz, i would probably never move up for a lot longer.

this phone still always makes people do double takes, and asks what it is.",2022-09-15T16:46:02Z,"['love', 'seeing', 'lg', 'get', 'love', 'deserve', 'features', 'lg', 'brought', 'well', 'brands', 'time', 'time', 'truly', 'innovative', 'even', 'fully', 'catch', 'seem', 'catching', 'years', 'later', 'phones', 'still', 'miss', 'lg', 'much', 'plan', 'rocking', 'v60', 'dual', 'screen', 'easily', 'next', '5', 'years', '90', '120hz', 'would', 'probably', 'never', 'move', 'lot', 'longer', 'phone', 'still', 'always', 'makes', 'people', 'double', 'takes', 'asks']",love seeing get love deserve features brought well brands time time truly innovative even fully catch seem catching years later phones still miss much plan rocking v60 dual screen easily next years 120hz would probably never move lot longer phone still always makes people double takes asks
11,jeffrey wellington,"great review as always. and yes, if you use an iPhone 11 or later phone, this is not much of an update, especially because you'll get cool features with the new IOS16. if you're a XsMax baby like myself or earlier, and you have the money, yes, definitely get this phone.","great review as always. and yes, if you use an iphone 11 or later phone, this is not much of an update, especially because you'll get cool features with the new ios16. if you're a xsmax baby like myself or earlier, and you have the money, yes, definitely get this phone.",2022-09-15T19:50:56Z,"['great', 'review', 'always', 'yes', 'use', 'iphone', '11', 'later', 'phone', 'much', 'update', 'especially', 'get', 'cool', 'features', 'new', 'ios16', 'xsmax', 'baby', 'like', 'earlier', 'money', 'yes', 'definitely', 'get', 'phone']",great review always yes use iphone later phone much update especially get cool features new ios16 xsmax baby like earlier money yes definitely get phone
12,Calla -Live Vlog,Great review! I think I’ll stick with my iPhone 11 Pro Max for now. It’s still kicking on and this still doesn’t feel like enough of a change to upgrade. Really hoping the next version has a USB-C port now that the rules are changing in the UK.,great review! i think i’ll stick with my iphone 11 pro max for now. it’s still kicking on and this still doesn’t feel like enough of a change to upgrade. really hoping the next version has a usb-c port now that the rules are changing in the uk.,2022-09-15T21:53:52Z,"['great', 'review', 'think', 'stick', 'iphone', '11', 'pro', 'max', 'still', 'kicking', 'still', 'feel', 'like', 'enough', 'change', 'upgrade', 'really', 'hoping', 'next', 'version', 'usb', 'c', 'port', 'rules', 'changing', 'uk']",great review think stick iphone pro max still kicking still feel like enough change upgrade really hoping next version usb port rules changing
13,Gabriel Ung,"Finally, something I wanted when Samsung released their pill shape camera. Love the implementation.","finally, something i wanted when samsung released their pill shape camera. love the implementation.",2022-09-16T08:15:36Z,"['finally', 'something', 'wanted', 'samsung', 'released', 'pill', 'shape', 'camera', 'love', 'implementation']",finally something wanted samsung released pill shape camera love implementation
14,Lens,"I honestly think the Dynamic Island is just another one of the small marketing schemes that apple does that works so well. Even though there is still a notch, this new feature made it look new for most people.","i honestly think the dynamic island is just another one of the small marketing schemes that apple does that works so well. even though there is still a notch, this new feature made it look new for most people.",2022-09-14T13:03:07Z,"['honestly', 'think', 'dynamic', 'island', 'another', 'one', 'small', 'marketing', 'schemes', 'apple', 'works', 'well', 'even', 'though', 'still', 'notch', 'new', 'feature', 'made', 'look', 'new', 'people']",honestly think dynamic island another one small marketing schemes apple works well even though still notch new feature made look new people
15,woolfel,"in the past I tried to implement crash detection with iPhone and found that detecting crash by comparing delta in accelarometer and gyroscope readings was very hard. Simple approaches like if the delta between readings the last 2 seconds is greater than 5x can easily lead to false positive. I'm gonna guess apple needed better sensors and ML model to really detect true crash. Assuming it's using ML model, a simple drop ""shouldn't"" trigger it. You'd probably need to throw it really hard at a wall to trigger false positive.","in the past i tried to implement crash detection with iphone and found that detecting crash by comparing delta in accelarometer and gyroscope readings was very hard. simple approaches like if the delta between readings the last 2 seconds is greater than 5x can easily lead to false positive. i'm gonna guess apple needed better sensors and ml model to really detect true crash. assuming it's using ml model, a simple drop ""shouldn't"" trigger it. you'd probably need to throw it really hard at a wall to trigger false positive.",2022-09-15T20:40:43Z,"['past', 'tried', 'implement', 'crash', 'detection', 'iphone', 'found', 'detecting', 'crash', 'comparing', 'delta', 'accelarometer', 'gyroscope', 'readings', 'hard', 'simple', 'approaches', 'like', 'delta', 'readings', 'last', '2', 'seconds', 'greater', '5x', 'easily', 'lead', 'false', 'positive', 'gonna', 'guess', 'apple', 'needed', 'better', 'sensors', 'ml', 'model', 'really', 'detect', 'true', 'crash', 'assuming', 'using', 'ml', 'model', 'simple', 'drop', 'trigger', 'probably', 'need', 'throw', 'really', 'hard', 'wall', 'trigger', 'false', 'positive']",past tried implement crash detection iphone found detecting crash comparing delta accelarometer gyroscope readings hard simple approaches like delta readings last seconds greater easily lead false positive gonna guess apple needed better sensors model really detect true crash assuming using model simple drop trigger probably need throw really hard wall trigger false positive
16,Big Jatt,"Samsung did always on display much better, i love the island feature on this phone. But we'll very soon see this island in other OS.","samsung did always on display much better, i love the island feature on this phone. but we'll very soon see this island in other os.",2022-09-15T20:09:22Z,"['samsung', 'always', 'display', 'much', 'better', 'love', 'island', 'feature', 'phone', 'soon', 'see', 'island', 'os']",samsung always display much better love island feature phone soon see island
17,zhang shi,It's amazing how some features like 'Car crash detection' seems so simple for people but I think this might have made the engineers and designers scratch their head to make it precise.,it's amazing how some features like 'car crash detection' seems so simple for people but i think this might have made the engineers and designers scratch their head to make it precise.,2022-09-16T11:05:03Z,"['amazing', 'features', 'like', 'car', 'crash', 'detection', 'seems', 'simple', 'people', 'think', 'might', 'made', 'engineers', 'designers', 'scratch', 'head', 'make', 'precise']",amazing features like car crash detection seems simple people think might made engineers designers scratch head make precise
18,Zac Q,"As a long time Samsung buyer i have to take my hat off to that dynamic island thing. 
Such a simple addition but SO effective! Love it.

That being said, if you like taking selfies then youll probs smudge it","as a long time samsung buyer i have to take my hat off to that dynamic island thing. 
such a simple addition but so effective! love it.

that being said, if you like taking selfies then youll probs smudge it",2022-09-16T10:43:08Z,"['long', 'time', 'samsung', 'buyer', 'take', 'hat', 'dynamic', 'island', 'thing', 'simple', 'addition', 'effective', 'love', 'said', 'like', 'taking', 'selfies', 'youll', 'probs', 'smudge']",long time samsung buyer take hat dynamic island thing simple addition effective love said like taking selfies youll probs smudge
19,Alextendo.Inc.,It was nice to include some smaller franchises like Zelda or pikmin in their hardcore farming direct,it was nice to include some smaller franchises like zelda or pikmin in their hardcore farming direct,2022-09-14T19:29:53Z,"['nice', 'include', 'smaller', 'franchises', 'like', 'zelda', 'pikmin', 'hardcore', 'farming', 'direct']",nice include smaller franchises like zelda pikmin hardcore farming direct
20,Equ3strianGam3r,I'm excited for Pikmin 4. If only they could port the first 2 games to Switch as well.,i'm excited for pikmin 4. if only they could port the first 2 games to switch as well.,2022-09-14T21:38:23Z,"['excited', 'pikmin', '4', 'could', 'port', 'first', '2', 'games', 'switch', 'well']",excited pikmin could port first games switch well
21,💞Sanny Т@p т0 Ch̴a̴t̴ ̴ ME 💞,"I loved the part when nintendo said, ""it's farming time"", and they farmed all over the place

Literally the farmest direct of all farms","i loved the part when nintendo said, ""it's farming time"", and they farmed all over the place

literally the farmest direct of all farms",2022-09-14T18:44:30Z,"['loved', 'part', 'nintendo', 'said', 'farming', 'time', 'farmed', 'place', 'literally', 'farmest', 'direct', 'farms']",loved part nintendo said farming time farmed place literally farmest direct farms
22,Asuran Wolf,The chills I got 51:13 I haven’t played Goldeneye in years!!,the chills i got 51:13 i haven’t played goldeneye in years!!,2022-09-15T13:02:46Z,"['chills', 'got', '51', '13', 'played', 'goldeneye', 'years']",chills got played goldeneye years
23,Hostius 'As In Hostility' Hostilius,Direct starts at 29:35 for those of you who didn't catch it live.,direct starts at 29:35 for those of you who didn't catch it live.,2022-09-13T14:57:39Z,"['direct', 'starts', '29', '35', 'catch', 'live']",direct starts catch live
24,The Schwag,"Hyped for a Tales of Symphonia remaster! Would have loved for it to have been bundled with the sequel, even if it wasn't as good. Remaster of Harvest Moon for N64 hit me harder than I could have predicted. Kirby remaster made me really feel how old I'm getting...","hyped for a tales of symphonia remaster! would have loved for it to have been bundled with the sequel, even if it wasn't as good. remaster of harvest moon for n64 hit me harder than i could have predicted. kirby remaster made me really feel how old i'm getting...",2022-09-14T03:19:13Z,"['hyped', 'tales', 'symphonia', 'remaster', 'would', 'loved', 'bundled', 'sequel', 'even', 'good', 'remaster', 'harvest', 'moon', 'n64', 'hit', 'harder', 'could', 'predicted', 'kirby', 'remaster', 'made', 'really', 'feel', 'old', 'getting']",hyped tales symphonia remaster would loved bundled sequel even good remaster harvest moon n64 hit harder could predicted kirby remaster made really feel old getting
25,💞Sanny Т@p т0 Ch̴a̴t̴ ̴ ME 💞,This Direct was awesome. So hyped for Pikmin 4 and Fire Emblem!,this direct was awesome. so hyped for pikmin 4 and fire emblem!,2022-09-14T18:42:13Z,"['direct', 'awesome', 'hyped', 'pikmin', '4', 'fire', 'emblem']",direct awesome hyped pikmin fire emblem
26,💞Sanny Т@p т0 Ch̴a̴t̴ ̴ ME 💞,This Direct was awesome. So hyped for Pikmin 4 and Fire Emblem!,this direct was awesome. so hyped for pikmin 4 and fire emblem!,2022-09-14T18:38:45Z,"['direct', 'awesome', 'hyped', 'pikmin', '4', 'fire', 'emblem']",direct awesome hyped pikmin fire emblem
27,💞Sanny Т@p т0 Ch̴a̴t̴ ̴ ME 💞,This Direct was awesome. So hyped for Pikmin 4 and Fire Emblem!,this direct was awesome. so hyped for pikmin 4 and fire emblem!,2022-09-14T18:37:37Z,"['direct', 'awesome', 'hyped', 'pikmin', '4', 'fire', 'emblem']",direct awesome hyped pikmin fire emblem
28,GenieMagic,"A wonderful life was my all time favourite from the series, so nostalgic that I still sometimes listen to the background music when I’m doing things ♡
The remake looks so perfect and even what they added only makes the game even more amazing instead of taking away from it!! I can’t wait ♡","a wonderful life was my all time favourite from the series, so nostalgic that i still sometimes listen to the background music when i’m doing things ♡
the remake looks so perfect and even what they added only makes the game even more amazing instead of taking away from it!! i can’t wait ♡",2022-09-13T17:51:24Z,"['wonderful', 'life', 'time', 'favourite', 'series', 'nostalgic', 'still', 'sometimes', 'listen', 'background', 'music', 'things', 'remake', 'looks', 'perfect', 'even', 'added', 'makes', 'game', 'even', 'amazing', 'instead', 'taking', 'away', 'wait']",wonderful life time favourite series nostalgic still sometimes listen background music things remake looks perfect even added makes game even amazing instead taking away wait
29,palOMGia,"Hyped for octopath, Kirby, and tears of the kingdom!","hyped for octopath, kirby, and tears of the kingdom!",2022-09-14T03:54:10Z,"['hyped', 'octopath', 'kirby', 'tears', 'kingdom']",hyped octopath kirby tears kingdom
30,LinkLoverAG,Mildly shocked they didn't consider adding Twilight Princess HD or Wind Waker HD. I hope they do eventually. It would be nice to be able to play all the 3d Zeldas on one system.,mildly shocked they didn't consider adding twilight princess hd or wind waker hd. i hope they do eventually. it would be nice to be able to play all the 3d zeldas on one system.,2022-09-14T09:26:15Z,"['mildly', 'shocked', 'consider', 'adding', 'twilight', 'princess', 'hd', 'wind', 'waker', 'hd', 'hope', 'eventually', 'would', 'nice', 'able', 'play', '3d', 'zeldas', 'one', 'system']",mildly shocked consider adding twilight princess wind waker hope eventually would nice able play zeldas one system
31,MeatyMuffin,"Best Direct I’ve seen in ages. There are a ton of remasters/remakes for things I love, a bunch of new things that look super interesting, and I’m blown away that we’re finally getting Fatal Frame: Mask of the Lunar Eclipse.","best direct i’ve seen in ages. there are a ton of remasters/remakes for things i love, a bunch of new things that look super interesting, and i’m blown away that we’re finally getting fatal frame: mask of the lunar eclipse.",2022-09-14T01:00:16Z,"['best', 'direct', 'seen', 'ages', 'ton', 'remasters', 'remakes', 'things', 'love', 'bunch', 'new', 'things', 'look', 'super', 'interesting', 'blown', 'away', 'finally', 'getting', 'fatal', 'frame', 'mask', 'lunar', 'eclipse']",best direct seen ages ton remasters remakes things love bunch new things look super interesting blown away finally getting fatal frame mask lunar eclipse
32,Username-Goes-Here,"so excited for these new releases, especially the splatfest and ib and zelda!!","so excited for these new releases, especially the splatfest and ib and zelda!!",2022-09-13T23:54:25Z,"['excited', 'new', 'releases', 'especially', 'splatfest', 'ib', 'zelda']",excited new releases especially splatfest zelda
33,Jugular John,"Miyamoto really hyped us for Mario movie footage, only to say “Pikmin 4”, and dipped. Absolute legend.","miyamoto really hyped us for mario movie footage, only to say “pikmin 4”, and dipped. absolute legend.",2022-09-13T15:33:37Z,"['miyamoto', 'really', 'hyped', 'us', 'mario', 'movie', 'footage', 'say', 'pikmin', '4', 'dipped', 'absolute', 'legend']",miyamoto really hyped mario movie footage say pikmin dipped absolute legend
34,Cartoon Hub,This is so cool,this is so cool,2022-09-14T06:12:40Z,['cool'],cool
35,Matthew LaSalvia,"For someone who enjoys farming sims and JRPG’s, this direct made me happy.","for someone who enjoys farming sims and jrpg’s, this direct made me happy.",2022-09-14T09:06:09Z,"['someone', 'enjoys', 'farming', 'sims', 'jrpg', 'direct', 'made', 'happy']",someone enjoys farming sims jrpg direct made happy
36,Limi,"What an AMAZING direct! So many great announcements, and Pikmin 4 was actually revealed?? Arlo must've lost his goddamn mind lol","what an amazing direct! so many great announcements, and pikmin 4 was actually revealed?? arlo must've lost his goddamn mind lol",2022-09-14T00:48:37Z,"['amazing', 'direct', 'many', 'great', 'announcements', 'pikmin', '4', 'actually', 'revealed', 'arlo', 'must', 'lost', 'goddamn', 'mind', 'lol']",amazing direct many great announcements pikmin actually revealed arlo must lost goddamn mind lol
37,⭕️Valery- G0 T0 MY СНаnnel LIVE N0W!,This Direct was awesome. So hyped for Pikmin 4 and Fire Emblem!,this direct was awesome. so hyped for pikmin 4 and fire emblem!,2022-09-14T15:30:35Z,"['direct', 'awesome', 'hyped', 'pikmin', '4', 'fire', 'emblem']",direct awesome hyped pikmin fire emblem
38,SydneyFlame,"52:45 being a fan of this game for years it really took me aback seeing it in an official nintendo direct, i still cant picture this as anything other than a small indie game LOL, but im really happy to see it in the big leagues!!!","52:45 being a fan of this game for years it really took me aback seeing it in an official nintendo direct, i still cant picture this as anything other than a small indie game lol, but im really happy to see it in the big leagues!!!",2022-09-13T15:28:52Z,"['52', '45', 'fan', 'game', 'years', 'really', 'took', 'aback', 'seeing', 'official', 'nintendo', 'direct', 'still', 'cant', 'picture', 'anything', 'small', 'indie', 'game', 'lol', 'im', 'really', 'happy', 'see', 'big', 'leagues']",fan game years really took aback seeing official nintendo direct still cant picture anything small indie game lol really happy see big leagues
39,Azerrz,This is magnificent,this is magnificent,2022-09-14T22:31:14Z,['magnificent'],magnificent
40,soundslikepizza,Holy I literally cannot be more hype for this!!!!!!!! Insanity,holy i literally cannot be more hype for this!!!!!!!! insanity,2022-09-15T15:58:48Z,"['holy', 'literally', 'cannot', 'hype', 'insanity']",holy literally cannot hype insanity
41,Мистер Огонёчек,“Death can have me when it earns me.” Goosebumps!,“death can have me when it earns me.” goosebumps!,2022-09-15T19:34:25Z,"['death', 'earns', 'goosebumps']",death earns goosebumps
42,Utkarsh Dewan,"The amount of power Thor and Kratos put in that hit at the end, INCREDIBLE","the amount of power thor and kratos put in that hit at the end, incredible",2022-09-15T10:21:19Z,"['amount', 'power', 'thor', 'kratos', 'put', 'hit', 'end', 'incredible']",amount power thor kratos put hit end incredible
43,Alfredo Monaldi,The scene with Atreus and Skoll and Hati made me tear up a bit while getting goosebumps. I can sense it will be one of the most incredible scenes in videogame history.,the scene with atreus and skoll and hati made me tear up a bit while getting goosebumps. i can sense it will be one of the most incredible scenes in videogame history.,2022-09-15T10:47:18Z,"['scene', 'atreus', 'skoll', 'hati', 'made', 'tear', 'bit', 'getting', 'goosebumps', 'sense', 'one', 'incredible', 'scenes', 'videogame', 'history']",scene atreus skoll hati made tear bit getting goosebumps sense one incredible scenes videogame history
44,TonyStark527,"""Death can have me, when it earns me.""

By far, the best way to describe Kratos as a character. Literally chills and goosebumps all over","""death can have me, when it earns me.""

by far, the best way to describe kratos as a character. literally chills and goosebumps all over",2022-09-13T22:33:42Z,"['death', 'earns', 'far', 'best', 'way', 'describe', 'kratos', 'character', 'literally', 'chills', 'goosebumps']",death earns far best way describe kratos character literally chills goosebumps
45,Assassin's Club,"The BEST trailers I have ever seen that have deep meaning, stronger dialogues, vast scale, emotional, amazing visuals,graphics ALL IN ONE. Truly a masterpiece it deserves and HATS OFF to team of  SANTA MONICA STUDIO for pulling this huge and complex piece!! ❤️","the best trailers i have ever seen that have deep meaning, stronger dialogues, vast scale, emotional, amazing visuals,graphics all in one. truly a masterpiece it deserves and hats off to team of  santa monica studio for pulling this huge and complex piece!! ❤️",2022-09-15T05:50:58Z,"['best', 'trailers', 'ever', 'seen', 'deep', 'meaning', 'stronger', 'dialogues', 'vast', 'scale', 'emotional', 'amazing', 'visuals', 'graphics', 'one', 'truly', 'masterpiece', 'deserves', 'hats', 'team', 'santa', 'monica', 'studio', 'pulling', 'huge', 'complex', 'piece']",best trailers ever seen deep meaning stronger dialogues vast scale emotional amazing visuals graphics one truly masterpiece deserves hats team santa monica studio pulling huge complex piece
46,Wei Chai,The holding hands between kratos And Tyr... That is between two gods of war. Stunning and deeply touching. Pre ordered already and this is definitely not disappointing.,the holding hands between kratos and tyr... that is between two gods of war. stunning and deeply touching. pre ordered already and this is definitely not disappointing.,2022-09-15T13:02:05Z,"['holding', 'hands', 'kratos', 'tyr', 'two', 'gods', 'war', 'stunning', 'deeply', 'touching', 'pre', 'ordered', 'already', 'definitely', 'disappointing']",holding hands kratos tyr two gods war stunning deeply touching pre ordered already definitely disappointing
47,alan kabalan,This entire trailer is flawless. A true masterpiece. Every second of it was amazing to watch… and the “death can have me when it earns me” line gave me chills,this entire trailer is flawless. a true masterpiece. every second of it was amazing to watch… and the “death can have me when it earns me” line gave me chills,2022-09-15T12:18:28Z,"['entire', 'trailer', 'flawless', 'true', 'masterpiece', 'every', 'second', 'amazing', 'watch', 'death', 'earns', 'line', 'gave', 'chills']",entire trailer flawless true masterpiece every second amazing watch death earns line gave chills
48,Deshondre Higginbotham,Wow just wow. 👏🏾 to everyone who had a part in making this masterpiece. You guys deserve all the success in the world and I appreciate you for the work you put in. The game looks epic.,wow just wow. 👏🏾 to everyone who had a part in making this masterpiece. you guys deserve all the success in the world and i appreciate you for the work you put in. the game looks epic.,2022-09-15T08:26:28Z,"['wow', 'wow', 'everyone', 'part', 'making', 'masterpiece', 'guys', 'deserve', 'success', 'world', 'appreciate', 'work', 'put', 'game', 'looks', 'epic']",wow wow everyone part making masterpiece guys deserve success world appreciate work put game looks epic
49,CIEL MANHWA,“Death can have me when it earns me.” Legendary line.,“death can have me when it earns me.” legendary line.,2022-09-14T00:10:58Z,"['death', 'earns', 'legendary', 'line']",death earns legendary line
50,Randy B,“Death can have me when it earns me.” Goosebumps!,“death can have me when it earns me.” goosebumps!,2022-09-15T11:36:13Z,"['death', 'earns', 'goosebumps']",death earns goosebumps
51,Jason Martin,"“Death can have me, when it earns me” such a badass line, considering all Kratos has survived","“death can have me, when it earns me” such a badass line, considering all kratos has survived",2022-09-16T02:53:51Z,"['death', 'earns', 'badass', 'line', 'considering', 'kratos', 'survived']",death earns badass line considering kratos survived
52,deadpool2312,“Death can have me when it earns me” amazing game already 🔥🔥,“death can have me when it earns me” amazing game already 🔥🔥,2022-09-15T06:40:31Z,"['death', 'earns', 'amazing', 'game', 'already']",death earns amazing game already
53,Ezekiel Jones,"I love how strong and powerful Valkyries are, tossing Kratos around like a ragdoll, but you can see some of that godly strength come out when he punches them repeatedly in the face lol","i love how strong and powerful valkyries are, tossing kratos around like a ragdoll, but you can see some of that godly strength come out when he punches them repeatedly in the face lol",2022-09-15T19:11:17Z,"['love', 'strong', 'powerful', 'valkyries', 'tossing', 'kratos', 'around', 'like', 'ragdoll', 'see', 'godly', 'strength', 'come', 'punches', 'repeatedly', 'face', 'lol']",love strong powerful valkyries tossing kratos around like ragdoll see godly strength come punches repeatedly face lol
54,Tyler,"The wolf chasing the sun was absolutely incredible, what a way to visualise mythology.","the wolf chasing the sun was absolutely incredible, what a way to visualise mythology.",2022-09-13T22:29:06Z,"['wolf', 'chasing', 'sun', 'absolutely', 'incredible', 'way', 'visualise', 'mythology']",wolf chasing sun absolutely incredible way visualise mythology
55,Josh,The hype for this game is amazing 3.5 mill views in a day is mad can’t believe how amazing this looks,the hype for this game is amazing 3.5 mill views in a day is mad can’t believe how amazing this looks,2022-09-15T07:43:20Z,"['hype', 'game', 'amazing', '3', '5', 'mill', 'views', 'day', 'mad', 'believe', 'amazing', 'looks']",hype game amazing mill views day mad believe amazing looks
56,Elad Ozeri,1:27 The way Kratos’ hits match and compliment the music. This trailer is something else…,1:27 the way kratos’ hits match and compliment the music. this trailer is something else…,2022-09-15T14:55:35Z,"['1', '27', 'way', 'kratos', 'hits', 'match', 'compliment', 'music', 'trailer', 'something', 'else']",way kratos hits match compliment music trailer something else
